Course,ID,Type
Cyber Security,106105214.0,Core
VLSI design,117106108.0,Core
VLSI design,108104139.0,Core
VLSI design,108105159.0,Core
VLSI design,108106084.0,Core
VLSI design,108102112.0,Core
VLSI design,108101094.0,Core
VLSI design,108105158.0,Core
VLSI design,108107142.0,Core
VLSI design,108105132.0,Core
VLSI design,108105113.0,Core
VLSI design,108108122.0,Core
VLSI design,108108112.0,Core
VLSI design,108106181.0,Core
VLSI design,108105102.0,Core
VLSI design,108106188.0,Core
VLSI design,108104193.0,Core
VLSI design,117108486.0,Core
VLSI design,108106480.0,Core
VLSI design,108107870.0,Core
Communication and Signal Processing,108104100.0,Core
Communication and Signal Processing,108106163.0,Core
Communication and Signal Processing,108106151.0,Core
Communication and Signal Processing,117105134.0,Core
Communication and Signal Processing,108101174.0,Core
Communication and Signal Processing,108106083.0,Core
Communication and Signal Processing,108104091.0,Core
Communication and Signal Processing,108104098.0,Core
Communication and Signal Processing,108102120.0,Core
Communication and Signal Processing,108101113.0,Core
Communication and Signal Processing,108106171.0,Core
Communication and Signal Processing,117105148.0,Core
Communication and Signal Processing,117105149.0,Core
Communication and Signal Processing,108103864.0,Core
Power Systems and Power Electronics,117106108.0,Core
Power Systems and Power Electronics,108104139.0,Core
Power Systems and Power Electronics,108105159.0,Core
Power Systems and Power Electronics,108105017.0,Core
Power Systems and Power Electronics,108102146.0,Core
Power Systems and Power Electronics,108105155.0,Core
Power Systems and Power Electronics,108105131.0,Core
Power Systems and Power Electronics,108105104.0,Core
Power Systems and Power Electronics,117105140.0,Core
Power Systems and Power Electronics,108101126.0,Core
Power Systems and Power Electronics,108102145.0,Core
Power Systems and Power Electronics,108106480.0,Core
Control and Instrumentation,108104100.0,Core
Control and Instrumentation,108106163.0,Core
Control and Instrumentation,117106108.0,Core
Control and Instrumentation,108104139.0,Core
Control and Instrumentation,108105159.0,Core
Control and Instrumentation,108106098.0,Core
Control and Instrumentation,107106081.0,Core
Control and Instrumentation,108105153.0,Core
Control and Instrumentation,108106084.0,Core
Control and Instrumentation,108102112.0,Core
Control and Instrumentation,108101094.0,Core
Control and Instrumentation,108105158.0,Core
Control and Instrumentation,108107142.0,Core
Control and Instrumentation,108105102.0,Core
Control and Instrumentation,108106171.0,Core
Control and Instrumentation,108102191.0,Core
Control and Instrumentation,108106480.0,Core
Control and Instrumentation,108103862.0,Core
Photonics,108106135.0,Core
Photonics,108106161.0,Core
Photonics,108104099.0,Core
Photonics,108106157.0,Core
Faculty Domain - Fundamental,121106012.0,Core
Faculty Domain - Fundamental,110105097.0,Core
Faculty Domain - Fundamental,102104061.0,Core
Faculty Domain - Fundamental,109107172.0,Core
Faculty Domain - Fundamental,121107451.0,Core
Faculty Domain - Fundamental,127108005.0,Core
Faculty Domain - Fundamental,127108015.0,Core
Faculty Domain - Fundamental,127105017.0,Core
Faculty Domain - Fundamental,121105010.0,Core
Faculty Domain - Fundamental,127108135.0,Core
Faculty Domain - Fundamental,127108781.0,Core
Faculty Domain - Fundamental,127108871.0,Core
Faculty Domain - Advanced,121106012.0,Core
Faculty Domain - Advanced,110105097.0,Core
Faculty Domain - Advanced,102104061.0,Core
Faculty Domain - Advanced,121107451.0,Core
Faculty Domain - Advanced,127108005.0,Core
Faculty Domain - Advanced,127108015.0,Core
Faculty Domain - Advanced,127105017.0,Core
Faculty Domain - Advanced,121105010.0,Core
Faculty Domain - Advanced,127108135.0,Core
Faculty Domain - Advanced,127108871.0,Core
Economics,109104125.0,Core
